,Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
14,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1975,1975,gigagrams,237521.4874,A,"Aggregate, may include official, semi-official, estimated or calculated data"
15,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1976,1976,gigagrams,248621.7471,A,"Aggregate, may include official, semi-official, estimated or calculated data"
16,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1977,1977,gigagrams,253180.7177,A,"Aggregate, may include official, semi-official, estimated or calculated data"
17,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1978,1978,gigagrams,274795.0068,A,"Aggregate, may include official, semi-official, estimated or calculated data"
18,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1979,1979,gigagrams,280165.6537,A,"Aggregate, may include official, semi-official, estimated or calculated data"
19,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1980,1980,gigagrams,291894.8964,A,"Aggregate, may include official, semi-official, estimated or calculated data"
20,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1981,1981,gigagrams,292382.9613,A,"Aggregate, may include official, semi-official, estimated or calculated data"
21,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1982,1982,gigagrams,293528.4581,A,"Aggregate, may include official, semi-official, estimated or calculated data"
22,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1983,1983,gigagrams,308460.778,A,"Aggregate, may include official, semi-official, estimated or calculated data"
23,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1984,1984,gigagrams,325443.5066,A,"Aggregate, may include official, semi-official, estimated or calculated data"
24,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1985,1985,gigagrams,324176.5564,A,"Aggregate, may include official, semi-official, estimated or calculated data"
25,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1986,1986,gigagrams,329135.9654,A,"Aggregate, may include official, semi-official, estimated or calculated data"
26,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1987,1987,gigagrams,335001.8144,A,"Aggregate, may include official, semi-official, estimated or calculated data"
27,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1988,1988,gigagrams,338810.6334,A,"Aggregate, may include official, semi-official, estimated or calculated data"
28,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1989,1989,gigagrams,341553.2465,A,"Aggregate, may include official, semi-official, estimated or calculated data"
29,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1990,1990,gigagrams,338974.6289,A,"Aggregate, may include official, semi-official, estimated or calculated data"
30,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1991,1991,gigagrams,326906.5282,A,"Aggregate, may include official, semi-official, estimated or calculated data"
31,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1992,1992,gigagrams,319896.1527,A,"Aggregate, may include official, semi-official, estimated or calculated data"
32,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1993,1993,gigagrams,315655.6251,A,"Aggregate, may include official, semi-official, estimated or calculated data"
33,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1994,1994,gigagrams,311036.778,A,"Aggregate, may include official, semi-official, estimated or calculated data"
34,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1995,1995,gigagrams,322341.3639,A,"Aggregate, may include official, semi-official, estimated or calculated data"
35,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1996,1996,gigagrams,341059.3686,A,"Aggregate, may include official, semi-official, estimated or calculated data"
36,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1997,1997,gigagrams,339866.3873,A,"Aggregate, may include official, semi-official, estimated or calculated data"
37,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1998,1998,gigagrams,339929.4442,A,"Aggregate, may include official, semi-official, estimated or calculated data"
38,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,1999,1999,gigagrams,341989.9598,A,"Aggregate, may include official, semi-official, estimated or calculated data"
39,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2000,2000,gigagrams,330531.6903,A,"Aggregate, may include official, semi-official, estimated or calculated data"
40,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2001,2001,gigagrams,337695.2559,A,"Aggregate, may include official, semi-official, estimated or calculated data"
41,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2002,2002,gigagrams,338535.4078,A,"Aggregate, may include official, semi-official, estimated or calculated data"
42,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2003,2003,gigagrams,349686.6978,A,"Aggregate, may include official, semi-official, estimated or calculated data"
43,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2004,2004,gigagrams,364875.6918,A,"Aggregate, may include official, semi-official, estimated or calculated data"
44,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2005,2005,gigagrams,363262.4796,A,"Aggregate, may include official, semi-official, estimated or calculated data"
45,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2006,2006,gigagrams,366432.2323,A,"Aggregate, may include official, semi-official, estimated or calculated data"
46,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2007,2007,gigagrams,381791.0863,A,"Aggregate, may include official, semi-official, estimated or calculated data"
47,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2008,2008,gigagrams,387242.0494,A,"Aggregate, may include official, semi-official, estimated or calculated data"
48,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2009,2009,gigagrams,384336.1197,A,"Aggregate, may include official, semi-official, estimated or calculated data"
49,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2010,2010,gigagrams,392941.9084,A,"Aggregate, may include official, semi-official, estimated or calculated data"
50,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2011,2011,gigagrams,412012.4489,A,"Aggregate, may include official, semi-official, estimated or calculated data"
51,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2012,2012,gigagrams,412498.4686,A,"Aggregate, may include official, semi-official, estimated or calculated data"
52,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2013,2013,gigagrams,429529.8523,A,"Aggregate, may include official, semi-official, estimated or calculated data"
53,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2014,2014,gigagrams,431372.8303,A,"Aggregate, may include official, semi-official, estimated or calculated data"
54,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2015,2015,gigagrams,430077.6689,A,"Aggregate, may include official, semi-official, estimated or calculated data"
55,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2016,2016,gigagrams,439124.411,A,"Aggregate, may include official, semi-official, estimated or calculated data"
56,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),1718,Cereals excluding rice,2017,2017,gigagrams,444593.3025,A,"Aggregate, may include official, semi-official, estimated or calculated data"
114,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1961,1961,gigagrams,401235.4198,A,"Aggregate, may include official, semi-official, estimated or calculated data"
115,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1962,1962,gigagrams,416381.2404,A,"Aggregate, may include official, semi-official, estimated or calculated data"
116,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1963,1963,gigagrams,418798.0446,A,"Aggregate, may include official, semi-official, estimated or calculated data"
117,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1964,1964,gigagrams,436916.8866,A,"Aggregate, may include official, semi-official, estimated or calculated data"
118,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1965,1965,gigagrams,437765.0479,A,"Aggregate, may include official, semi-official, estimated or calculated data"
119,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1966,1966,gigagrams,446817.0245,A,"Aggregate, may include official, semi-official, estimated or calculated data"
120,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1967,1967,gigagrams,452246.7943,A,"Aggregate, may include official, semi-official, estimated or calculated data"
121,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1968,1968,gigagrams,461529.1161,A,"Aggregate, may include official, semi-official, estimated or calculated data"
122,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1969,1969,gigagrams,468131.2289,A,"Aggregate, may include official, semi-official, estimated or calculated data"
123,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1970,1970,gigagrams,477507.4515,A,"Aggregate, may include official, semi-official, estimated or calculated data"
124,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1971,1971,gigagrams,486177.2735,A,"Aggregate, may include official, semi-official, estimated or calculated data"
125,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1972,1972,gigagrams,480979.8938,A,"Aggregate, may include official, semi-official, estimated or calculated data"
126,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1973,1973,gigagrams,499490.5537,A,"Aggregate, may include official, semi-official, estimated or calculated data"
127,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1974,1974,gigagrams,501372.8468,A,"Aggregate, may include official, semi-official, estimated or calculated data"
128,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1975,1975,gigagrams,520253.5941,A,"Aggregate, may include official, semi-official, estimated or calculated data"
129,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1976,1976,gigagrams,519328.3666,A,"Aggregate, may include official, semi-official, estimated or calculated data"
130,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1977,1977,gigagrams,530852.3416,A,"Aggregate, may include official, semi-official, estimated or calculated data"
131,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1978,1978,gigagrams,537206.5002,A,"Aggregate, may include official, semi-official, estimated or calculated data"
132,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1979,1979,gigagrams,532245.1973,A,"Aggregate, may include official, semi-official, estimated or calculated data"
133,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1980,1980,gigagrams,546256.3059,A,"Aggregate, may include official, semi-official, estimated or calculated data"
134,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1981,1981,gigagrams,549782.8455,A,"Aggregate, may include official, semi-official, estimated or calculated data"
135,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1982,1982,gigagrams,541586.3849,A,"Aggregate, may include official, semi-official, estimated or calculated data"
136,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1983,1983,gigagrams,548858.8682,A,"Aggregate, may include official, semi-official, estimated or calculated data"
137,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1984,1984,gigagrams,560256.0971,A,"Aggregate, may include official, semi-official, estimated or calculated data"
138,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1985,1985,gigagrams,558525.6225,A,"Aggregate, may include official, semi-official, estimated or calculated data"
139,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1986,1986,gigagrams,561054.7162,A,"Aggregate, may include official, semi-official, estimated or calculated data"
140,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1987,1987,gigagrams,556777.3655,A,"Aggregate, may include official, semi-official, estimated or calculated data"
141,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1988,1988,gigagrams,578079.6495,A,"Aggregate, may include official, semi-official, estimated or calculated data"
142,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1989,1989,gigagrams,588415.7233,A,"Aggregate, may include official, semi-official, estimated or calculated data"
143,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1990,1990,gigagrams,584350.9701,A,"Aggregate, may include official, semi-official, estimated or calculated data"
144,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1991,1991,gigagrams,582418.4618,A,"Aggregate, may include official, semi-official, estimated or calculated data"
145,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1992,1992,gigagrams,584036.9597,A,"Aggregate, may include official, semi-official, estimated or calculated data"
146,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1993,1993,gigagrams,576992.5467,A,"Aggregate, may include official, semi-official, estimated or calculated data"
147,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1994,1994,gigagrams,584211.4421,A,"Aggregate, may include official, semi-official, estimated or calculated data"
148,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1995,1995,gigagrams,601679.076,A,"Aggregate, may include official, semi-official, estimated or calculated data"
149,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1996,1996,gigagrams,613628.3167,A,"Aggregate, may include official, semi-official, estimated or calculated data"
150,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1997,1997,gigagrams,612433.6875,A,"Aggregate, may include official, semi-official, estimated or calculated data"
151,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1998,1998,gigagrams,612992.4553,A,"Aggregate, may include official, semi-official, estimated or calculated data"
152,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",1999,1999,gigagrams,637123.2098,A,"Aggregate, may include official, semi-official, estimated or calculated data"
153,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2000,2000,gigagrams,622031.5203,A,"Aggregate, may include official, semi-official, estimated or calculated data"
154,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2001,2001,gigagrams,615243.3375,A,"Aggregate, may include official, semi-official, estimated or calculated data"
155,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2002,2002,gigagrams,606178.827,A,"Aggregate, may include official, semi-official, estimated or calculated data"
156,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2003,2003,gigagrams,608876.9374,A,"Aggregate, may include official, semi-official, estimated or calculated data"
157,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2004,2004,gigagrams,623980.9176,A,"Aggregate, may include official, semi-official, estimated or calculated data"
158,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2005,2005,gigagrams,636434.7922,A,"Aggregate, may include official, semi-official, estimated or calculated data"
159,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2006,2006,gigagrams,639774.2451,A,"Aggregate, may include official, semi-official, estimated or calculated data"
160,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2007,2007,gigagrams,645219.1328,A,"Aggregate, may include official, semi-official, estimated or calculated data"
161,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2008,2008,gigagrams,661159.5395,A,"Aggregate, may include official, semi-official, estimated or calculated data"
162,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2009,2009,gigagrams,664683.4433,A,"Aggregate, may include official, semi-official, estimated or calculated data"
163,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2010,2010,gigagrams,677681.2209,A,"Aggregate, may include official, semi-official, estimated or calculated data"
164,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2011,2011,gigagrams,682826.0604,A,"Aggregate, may include official, semi-official, estimated or calculated data"
165,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2012,2012,gigagrams,684284.5163,A,"Aggregate, may include official, semi-official, estimated or calculated data"
166,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2013,2013,gigagrams,693386.6763,A,"Aggregate, may include official, semi-official, estimated or calculated data"
167,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2014,2014,gigagrams,690341.0976,A,"Aggregate, may include official, semi-official, estimated or calculated data"
168,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2015,2015,gigagrams,684634.8709,A,"Aggregate, may include official, semi-official, estimated or calculated data"
169,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2016,2016,gigagrams,693871.7999,A,"Aggregate, may include official, semi-official, estimated or calculated data"
170,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),27,"Rice, paddy",2017,2017,gigagrams,704100.2032,A,"Aggregate, may include official, semi-official, estimated or calculated data"
228,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1961,1961,gigagrams,1040606.2333,A,"Aggregate, may include official, semi-official, estimated or calculated data"
229,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1962,1962,gigagrams,1066464.7593,A,"Aggregate, may include official, semi-official, estimated or calculated data"
230,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1963,1963,gigagrams,1086008.2908,A,"Aggregate, may include official, semi-official, estimated or calculated data"
231,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1964,1964,gigagrams,1109833.9585,A,"Aggregate, may include official, semi-official, estimated or calculated data"
232,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1965,1965,gigagrams,1141737.48,A,"Aggregate, may include official, semi-official, estimated or calculated data"
233,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1966,1966,gigagrams,1166097.593,A,"Aggregate, may include official, semi-official, estimated or calculated data"
234,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1967,1967,gigagrams,1199209.8798,A,"Aggregate, may include official, semi-official, estimated or calculated data"
235,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1968,1968,gigagrams,1219039.3642,A,"Aggregate, may include official, semi-official, estimated or calculated data"
236,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1969,1969,gigagrams,1224953.5101,A,"Aggregate, may include official, semi-official, estimated or calculated data"
237,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1970,1970,gigagrams,1245584.7194,A,"Aggregate, may include official, semi-official, estimated or calculated data"
238,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1971,1971,gigagrams,1268362.974,A,"Aggregate, may include official, semi-official, estimated or calculated data"
239,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1972,1972,gigagrams,1304474.5149,A,"Aggregate, may include official, semi-official, estimated or calculated data"
240,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1973,1973,gigagrams,1338705.3777,A,"Aggregate, may include official, semi-official, estimated or calculated data"
241,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1974,1974,gigagrams,1381604.4757,A,"Aggregate, may include official, semi-official, estimated or calculated data"
242,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1975,1975,gigagrams,1410820.4193,A,"Aggregate, may include official, semi-official, estimated or calculated data"
243,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1976,1976,gigagrams,1425649.1103,A,"Aggregate, may include official, semi-official, estimated or calculated data"
244,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1977,1977,gigagrams,1426799.512,A,"Aggregate, may include official, semi-official, estimated or calculated data"
245,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1978,1978,gigagrams,1417990.5789,A,"Aggregate, may include official, semi-official, estimated or calculated data"
246,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1979,1979,gigagrams,1414430.8644,A,"Aggregate, may include official, semi-official, estimated or calculated data"
247,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1980,1980,gigagrams,1426397.8281,A,"Aggregate, may include official, semi-official, estimated or calculated data"
248,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1981,1981,gigagrams,1438084.546,A,"Aggregate, may include official, semi-official, estimated or calculated data"
249,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1982,1982,gigagrams,1453208.9133,A,"Aggregate, may include official, semi-official, estimated or calculated data"
250,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1983,1983,gigagrams,1458986.7075,A,"Aggregate, may include official, semi-official, estimated or calculated data"
251,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1984,1984,gigagrams,1470534.5596,A,"Aggregate, may include official, semi-official, estimated or calculated data"
252,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1985,1985,gigagrams,1476636.0465,A,"Aggregate, may include official, semi-official, estimated or calculated data"
253,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1986,1986,gigagrams,1481018.0077,A,"Aggregate, may include official, semi-official, estimated or calculated data"
254,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1987,1987,gigagrams,1480371.9515,A,"Aggregate, may include official, semi-official, estimated or calculated data"
255,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1988,1988,gigagrams,1486852.6807,A,"Aggregate, may include official, semi-official, estimated or calculated data"
256,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1989,1989,gigagrams,1508095.8538,A,"Aggregate, may include official, semi-official, estimated or calculated data"
257,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1990,1990,gigagrams,1517243.9607,A,"Aggregate, may include official, semi-official, estimated or calculated data"
258,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1991,1991,gigagrams,1521735.6778,A,"Aggregate, may include official, semi-official, estimated or calculated data"
259,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1992,1992,gigagrams,1527073.0271,A,"Aggregate, may include official, semi-official, estimated or calculated data"
260,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1993,1993,gigagrams,1528659.4171,A,"Aggregate, may include official, semi-official, estimated or calculated data"
261,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1994,1994,gigagrams,1542168.5486,A,"Aggregate, may include official, semi-official, estimated or calculated data"
262,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1995,1995,gigagrams,1553076.2576,A,"Aggregate, may include official, semi-official, estimated or calculated data"
263,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1996,1996,gigagrams,1560300.9226,A,"Aggregate, may include official, semi-official, estimated or calculated data"
264,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1997,1997,gigagrams,1527398.7016,A,"Aggregate, may include official, semi-official, estimated or calculated data"
265,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1998,1998,gigagrams,1526021.9185,A,"Aggregate, may include official, semi-official, estimated or calculated data"
266,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",1999,1999,gigagrams,1527213.4285,A,"Aggregate, may include official, semi-official, estimated or calculated data"
267,EI,Emissions intensities,5000,World,7231,Emissions (CO2eq),867,"Meat, cattle",2000,2000,gigagrams,1534292.7076,A,"Aggregate, may include official, semi-official, estimated or calculated data"
